rep,n,runtime
19,5,11.048755645751953
19,6,15.965015649795532
19,8,26.58977174758911
19,10,42.546600580215454
19,12,60.393369913101196
19,16,78.59440016746521
19,20,123.18428826332092
19,25,166.9409306049347
19,32,331.4749789237976
19,40,440.15671467781067
19,50,688.661869764328
19,64,1078.445226430893
19,80,1633.6624336242676
19,101,2760.2759511470795
19,128,4654.021614789963
20,2,6.274585962295532
20,3,7.106485843658447
20,4,9.24452018737793
20,5,14.721322536468506
20,6,24.847787618637085
20,8,20.395240306854248
20,10,35.57359313964844
20,12,45.81263995170593
20,16,75.62911486625671
20,20,119.83246803283691
20,25,186.66192817687988
20,32,295.963760137558
20,40,415.02423214912415
20,50,686.2729241847992
20,64,1025.8512170314789
20,80,1583.3798274993896
20,101,2782.9885721206665
20,128,4761.553645133972
21,2,3.8609559535980225
21,3,9.026367664337158
21,4,12.146318674087524
21,5,13.786070823669434
21,6,19.27198100090027
21,8,25.45358943939209
21,10,42.033897161483765
21,12,44.44962477684021
21,16,68.04777836799622
21,20,114.43981504440308
21,25,191.04500126838684
21,32,280.94777965545654
21,40,396.79132056236267
21,50,627.7469897270203
21,64,1059.7870573997498
21,80,1606.7189650535583
21,101,2684.999280691147
21,128,4937.722944021225
22,2,4.240898609161377
22,3,8.53506064414978
22,4,13.906543970108032
22,5,15.04621410369873
22,6,18.558221578598022
22,8,29.831047296524048
22,10,35.454710245132446
22,12,48.33218050003052
22,16,101.53931474685669
22,20,161.21069502830505
22,25,149.9309356212616
22,32,294.2399263381958
22,40,427.5879602432251
22,50,637.5957086086273
22,64,990.4680774211884
22,80,1610.0854132175446
22,101,2693.936728477478
22,128,4753.819437265396
23,2,3.5741076469421387
23,3,8.133506536483765
23,4,9.60449767112732
23,5,13.270178079605103
23,6,18.129576444625854
23,8,24.244874238967896
23,10,34.662997245788574
23,12,52.62425899505615
23,16,56.28041982650757
23,20,103.00361204147339
23,25,210.88050627708435
23,32,288.4624810218811
23,40,436.48316860198975
23,50,619.516854763031
23,64,1107.9496042728424
23,80,1573.230387210846
23,101,2661.7053349018097
23,128,4928.242965459824
24,2,3.967343807220459
24,3,6.90653133392334
24,4,10.958000421524048
24,5,11.576458930969238
24,6,19.564928770065308
24,8,25.936376094818115
24,10,44.91334772109985
24,12,38.722821950912476
24,16,86.4394314289093
24,20,97.62748312950134
24,25,161.00673294067383
24,32,290.5313858985901
24,40,417.46843242645264
24,50,708.2511401176453
24,64,1020.0571441650392
24,80,1654.7828035354614
24,101,2806.5841841697693
24,128,4846.889571905136
25,2,3.0105576515197754
25,3,4.628547668457031
25,4,8.594213247299194
25,5,10.422396898269653
25,6,13.692838907241821
25,8,27.495986938476562
25,10,36.263569355010986
25,12,37.02429151535034
25,16,91.4920723438263
25,20,129.64377808570862
25,25,211.90590405464172
25,32,269.47073698043823
25,40,427.83687448501587
25,50,692.702130317688
25,64,1056.2344152927399
25,80,1606.705724477768
25,101,2836.323579788208
25,128,4983.907145500183
26,2,4.049608945846558
26,3,8.6215078830719
26,4,10.319308757781982
26,5,10.536307334899902
26,6,22.74539828300476
26,8,24.244712829589844
26,10,50.072598695755005
26,12,41.44347381591797
26,16,79.88090896606445
26,20,124.67187452316283
26,25,191.80440282821655
26,32,283.1124269962311
26,40,445.49395871162415
26,50,672.729730129242
26,64,1015.1100635528566
26,80,1572.899842262268
26,101,2668.5744438171387
26,128,5334.645748138428
27,2,4.6469128131866455
27,3,5.795607328414917
27,4,11.66409683227539
27,5,12.078823328018188
27,6,18.88156771659851
27,8,27.10274386405945
27,10,34.54995775222778
27,12,51.696706771850586
27,16,82.28196716308594
27,20,122.24533247947693
27,25,181.09041285514832
27,32,298.7677698135376
27,40,460.70761799812317
27,50,665.9353740215302
27,64,998.2776749134065
27,80,1557.2612564563751
27,101,2635.212900876999
27,128,5156.169966459274
28,2,3.672832489013672
28,3,7.311964273452759
28,4,10.839807748794556
28,5,13.481806993484497
28,6,16.306971788406372
28,8,20.96922278404236
28,10,34.79950213432312
28,12,45.007861614227295
28,16,85.98755764961243
28,20,133.48644614219666
28,25,209.8180661201477
28,32,288.83008003234863
28,40,442.4219844341278
28,50,659.4116294384003
28,64,1009.3431310653685
28,80,1670.5709307193756
28,101,2706.7690596580505
28,128,4907.860059499741
29,2,4.6775062084198
29,3,6.70663595199585
29,4,10.860771417617798
29,5,11.868662357330322
29,6,16.558282613754272
29,8,23.801880598068237
29,10,27.75797986984253
29,12,52.53665900230408
29,16,95.96075344085693
29,20,119.871652841568
29,25,205.82926607131958
29,32,294.4894630908966
29,40,441.7345063686371
29,50,683.3182909488678
29,64,1108.3675882816315
29,80,1691.117931842804
29,101,2659.250292301178
29,128,4909.439342737198
30,2,3.726057529449463
30,3,6.36585259437561
30,4,8.686206817626953
30,5,10.46499228477478
30,6,22.432551383972168
30,8,29.509445905685425
30,10,39.645524978637695
30,12,45.93583083152771
30,16,94.2237937450409
30,20,126.96288156509398
30,25,166.20587587356567
30,32,305.8549723625183
30,40,421.815890789032
30,50,710.7261836528778
30,64,1125.585469007492
30,80,1509.1870267391205
30,101,2866.819655895233
30,128,4955.736931324005
31,2,3.9271256923675537
31,3,6.717857837677002
31,4,12.249865531921387
31,5,12.350661277770996
31,6,18.328328371047974
31,8,22.833165168762207
31,10,30.437659740447998
31,12,47.66777849197388
31,16,81.79986310005188
31,20,93.77766704559326
31,25,178.71025967597961
31,32,291.3166706562042
31,40,455.89194321632385
31,50,584.341388463974
31,64,1111.1918442249298
31,80,1646.765677690506
31,101,2782.529884338379
31,128,4924.828145742416
32,2,5.178397178649902
32,3,6.904466152191162
32,4,8.152981996536255
32,5,13.110427618026733
32,6,20.27178382873535
32,8,20.979151964187622
32,10,30.599275827407837
32,12,54.85472083091736
32,16,88.07095408439636
32,20,117.57644128799438
32,25,155.98154211044312
32,32,261.74865436553955
32,40,473.86541223526
32,50,599.759316444397
32,64,982.0826473236084
32,80,1572.664464712143
32,101,2712.7831616401672
32,128,4836.999150276184
33,2,4.043744802474976
33,3,5.875674247741699
33,4,10.336195230484009
33,5,12.583946704864502
33,6,17.148590087890625
33,8,27.105085372924805
33,10,27.29203748703003
33,12,49.245728731155396
33,16,101.38927960395813
33,20,138.90181756019592
33,25,162.33603024482727
33,32,327.5205099582672
33,40,403.39246106147766
33,50,674.4978096485138
33,64,1095.262377500534
33,80,1628.185194015503
33,101,2742.3572256565094
33,128,4970.951002120972
34,2,3.950360059738159
34,3,7.646346569061279
34,4,10.225814819335938
34,5,14.47432827949524
34,6,16.347012996673584
34,8,26.301087617874146
34,10,34.6801073551178
34,12,59.79342031478882
34,16,89.05716466903687
34,20,118.85922527313232
34,25,195.2350013256073
34,32,254.65836334228516
34,40,424.78785586357117
34,50,652.4700407981873
34,64,1075.6032705307007
34,80,1609.3363728523254
34,101,2863.021888256073
34,128,4982.231539011002
35,2,4.69880747795105
35,3,8.330824136734009
35,4,10.281893730163574
35,5,13.781888484954834
35,6,13.263991832733154
35,8,31.216283321380615
35,10,42.83217906951904
35,12,55.20057392120361
35,16,89.6446795463562
35,20,128.59686732292175
35,25,184.23723888397217
35,32,295.4713656902313
35,40,435.4468152523041
35,50,645.3585026264191
35,64,1075.7281806468964
