rep,n,runtime
7,40,378.38477206230164
7,50,591.9835729598999
7,64,938.4182200431824
7,80,1344.4855420589447
7,101,2175.717940092087
7,128,2841.2472479343414
8,2,3.6129698753356934
8,3,5.006119012832642
8,4,7.043138742446899
8,5,8.780965328216553
8,6,12.651806354522705
8,8,25.30918860435486
8,10,32.50174593925476
8,12,35.60961604118347
8,16,99.60126829147339
8,20,148.1477816104889
8,25,274.8533492088318
8,32,375.59825110435486
8,40,599.606338262558
8,50,768.2903938293457
8,64,1218.6524403095245
8,80,1635.8544206619263
8,101,2194.7859721183777
8,128,3524.796895265579
9,2,5.142635107040405
9,3,6.438155651092529
9,4,9.395010471343994
9,5,15.874794483184814
9,6,17.505091667175293
9,8,20.56750798225403
9,10,28.94763946533203
9,12,47.9002640247345
9,16,54.615090131759644
9,20,94.8722927570343
9,25,187.48368668556213
9,32,266.91885590553284
9,40,414.4781153202057
9,50,553.6874339580536
9,64,966.4058611392976
9,80,1544.100827217102
9,101,2195.9078817367554
9,128,3678.15452504158
10,2,3.6186347007751465
10,3,6.035909414291382
10,4,9.687373399734497
10,5,12.943343162536621
10,6,20.433717727661133
10,8,22.445229530334473
10,10,35.853893518447876
10,12,38.817824363708496
10,16,73.17171359062195
10,20,104.5216372013092
10,25,147.02835273742676
10,32,206.09488487243652
10,40,312.0904622077942
10,50,410.8198766708374
10,64,655.8244104385376
10,80,950.7601099014282
10,101,1702.8580014705658
10,128,4763.519957065582
11,2,4.428782224655151
11,3,6.61462664604187
11,4,9.793541669845581
11,5,13.225956916809082
11,6,15.0011887550354
11,8,28.453661680221558
11,10,46.76833128929138
11,12,52.327797174453735
11,16,99.51012349128723
11,20,129.64824390411377
11,25,202.7283799648285
11,32,279.2779939174652
11,40,404.19244384765625
11,50,563.2461111545563
11,64,848.1441051959991
11,80,1397.6515877246857
11,101,2036.8151097297668
11,128,4007.1216001510616
12,2,4.316620349884033
12,3,6.387739181518555
12,4,10.714743614196777
12,5,15.875871181488037
12,6,15.077942609786987
12,8,25.684749603271484
12,10,30.25724482536316
12,12,60.44039011001587
12,16,61.333576917648315
12,20,123.95349335670471
12,25,164.7005593776703
12,32,270.08019399642944
12,40,397.5767614841461
